Property_ID,Location,Property_Type,Monthly_Rent,Vacancy_Status,Square_Footage,Bedrooms,Bathrooms,Date_Added,Lease_Length_Months,Tenant_Income,Maintenance_Cost,Property_Age,Landlord_ID,Last_Renovation_Date,Utilities_Included,Rent_Increase,Complaint_Count,Satisfaction_Score,Market_Value
50,Vancouver,Condo,1856,Vacant,3898,3,2,2017-12-14,24,6811,107,71,134,2022-01-21,Yes,2.73,11,2,949617
51,Winnipeg,House,2038,Vacant,3295,2,1,2021-03-31,21,8410,446,95,162,2017-10-30,No,1.42,14,5,444653
52,Edmonton,Apartment,2573,Rented,538,2,3,2019-02-19,8,11839,664,5,21,2023-12-05,No,3.08,15,6,547670
53,Winnipeg,House,3917,Vacant,3414,2,3,2016-01-14,17,6488,267,51,411,2020-09-11,Yes,3.79,6,3,144493
54,Halifax,Apartment,3197,Rented,1375,4,2,2016-05-18,8,5918,342,66,302,2020-03-03,Yes,2.62,10,4,87703
55,Toronto,House,1561,Rented,1111,4,1,2023-01-07,29,3013,867,4,166,2022-06-25,No,3.11,12,6,902925
56,Halifax,Apartment,3609,Rented,3234,1,3,2023-02-05,31,11308,580,18,63,2018-06-21,Yes,4.52,1,8,920605
57,Toronto,Townhouse,2863,Rented,368,4,3,2021-03-25,15,2552,596,90,298,2022-03-08,Yes,3.79,9,6,306663
58,Winnipeg,Apartment,3824,Vacant,3825,4,2,2021-08-10,22,8570,844,96,133,2022-09-03,No,0.76,8,1,589857
59,Calgary,House,1239,Rented,3825,1,2,2019-02-03,27,5099,913,78,425,2015-10-24,Yes,0.18,0,7,786681
60,Edmonton,Condo,1058,Vacant,3605,4,2,2015-10-25,18,10578,551,43,212,2018-11-23,No,0.35,1,9,879851
61,Toronto,House,3899,Vacant,353,4,1,2022-11-28,34,8345,469,16,106,2021-03-16,Yes,1.6,14,3,502196
62,Ottawa,Apartment,2819,Rented,3270,3,1,2021-12-01,6,5471,433,55,321,2020-12-13,No,4.11,11,2,329847
63,Toronto,House,2519,Vacant,1120,4,3,2019-08-28,21,7409,290,52,162,2018-11-01,No,1.21,10,2,132434
64,Edmonton,Apartment,3552,Rented,2989,2,3,2021-03-31,15,6933,349,9,183,2017-09-14,No,0.43,7,8,404641
65,Ottawa,Condo,852,Vacant,2645,1,1,2017-08-11,16,7194,266,36,264,2020-08-07,Yes,3.72,5,3,732483
66,Calgary,Townhouse,1692,Rented,2579,2,2,2021-01-10,31,10236,348,57,19,2015-07-17,Yes,1.11,14,4,409010
67,Toronto,Apartment,2068,Rented,2144,2,1,2019-10-23,33,8036,433,1,449,2016-11-28,No,2.66,4,9,573380
68,Calgary,Condo,3986,Vacant,3421,3,2,2023-02-21,12,8811,245,95,463,2021-04-12,Yes,2.18,13,9,78418
69,Ottawa,House,1622,Rented,721,2,1,2020-09-28,17,4844,186,92,342,2023-01-08,Yes,2.13,11,3,158111
70,Winnipeg,Townhouse,2794,Rented,3643,1,3,2016-03-10,8,4462,717,7,472,2023-03-31,Yes,4.51,18,5,574029
71,Halifax,Townhouse,1969,Vacant,1578,2,2,2017-08-31,22,4869,357,62,165,2021-11-14,Yes,3.02,0,7,651217
72,Montreal,Condo,903,Rented,318,1,3,2015-02-17,20,3555,779,92,106,2021-06-12,Yes,2.71,17,3,266703
73,Montreal,Apartment,2180,Rented,3842,2,1,2023-03-22,35,4852,695,13,489,2018-02-10,No,4.1,12,1,117551
74,Montreal,House,1551,Vacant,1565,1,2,2016-08-08,11,8360,960,65,65,2021-10-14,No,3.29,16,2,711952
75,Halifax,Condo,2630,Vacant,2251,4,3,2022-02-23,15,7342,822,80,372,2016-01-08,Yes,4.75,5,4,604943
76,Toronto,House,3913,Rented,3196,1,1,2017-01-26,19,10884,892,5,219,2016-11-21,Yes,0.74,9,3,299301
77,Edmonton,Apartment,1404,Vacant,1512,3,2,2018-08-23,33,8468,232,79,422,2021-11-08,Yes,0.67,19,1,644959
78,Edmonton,Apartment,3003,Vacant,1141,4,2,2019-08-03,33,3132,880,36,33,2016-04-10,Yes,1.44,18,5,108372
79,Winnipeg,House,2739,Rented,1158,4,3,2023-10-21,19,4050,675,90,481,2022-01-27,No,2.58,3,4,999218
80,Winnipeg,Condo,2681,Rented,378,2,3,2017-07-18,25,9958,766,55,34,2019-03-26,No,4.05,17,4,668431
81,Calgary,Apartment,3341,Rented,1475,4,1,2016-04-20,8,6061,217,57,118,2015-02-06,Yes,2.0,9,1,566328
82,Montreal,Apartment,1517,Vacant,3412,4,3,2022-04-08,32,10681,996,29,400,2022-12-17,Yes,0.31,11,6,807782
83,Calgary,Apartment,3826,Rented,1031,2,3,2015-03-02,27,10751,819,54,383,2019-09-21,Yes,0.14,19,1,197717
84,Halifax,Apartment,2708,Vacant,861,3,3,2020-06-06,33,2569,452,23,448,2020-04-01,No,3.14,2,2,694287
85,Montreal,Condo,885,Rented,914,3,2,2023-12-19,17,7730,748,33,153,2017-04-22,Yes,3.72,2,8,138333
86,Vancouver,Townhouse,812,Rented,1196,2,3,2018-04-07,22,3091,546,49,157,2020-04-14,Yes,0.36,10,2,623349
87,Edmonton,House,1922,Rented,3203,4,3,2023-08-05,9,8490,723,14,160,2020-03-18,No,2.85,16,1,536247
88,Ottawa,House,3332,Vacant,2850,1,3,2017-04-07,11,10926,301,39,198,2023-07-07,Yes,3.78,18,8,787706
89,Winnipeg,House,926,Rented,616,2,1,2023-04-30,21,8156,272,14,387,2016-02-08,No,1.42,11,1,128717
90,Vancouver,Condo,1492,Rented,3867,1,1,2016-01-12,25,8533,690,97,249,2017-03-07,Yes,2.41,12,7,981631
91,Montreal,Apartment,1587,Rented,2434,3,3,2021-10-30,19,11519,483,89,3,2019-01-16,Yes,4.93,12,7,691442
92,Ottawa,Townhouse,2613,Vacant,1047,3,1,2021-03-07,33,4781,920,85,338,2021-04-19,Yes,0.9,14,3,276594
93,Edmonton,Apartment,3446,Rented,3304,2,2,2017-05-30,35,6240,458,83,154,2022-10-10,No,4.73,9,1,822099
94,Ottawa,House,1236,Rented,3233,1,3,2020-02-09,35,2726,592,15,296,2022-10-11,No,4.4,14,2,427473
95,Ottawa,Apartment,3832,Vacant,1858,2,1,2020-07-01,15,9697,554,38,362,2016-01-01,No,4.24,2,4,941654
96,Ottawa,House,2049,Vacant,3623,1,3,2015-03-23,14,5181,395,33,293,2023-07-26,Yes,4.18,14,6,383649
97,Edmonton,Townhouse,3550,Vacant,924,4,2,2017-10-15,35,8938,880,90,1,2016-10-11,Yes,4.38,14,6,949747
98,Winnipeg,Apartment,2025,Vacant,3472,2,2,2020-10-08,19,10231,113,41,42,2015-01-19,No,1.94,12,3,949689
99,Ottawa,Apartment,836,Vacant,2701,3,1,2020-06-05,10,3126,611,42,454,2016-12-21,No,0.35,13,8,53606
100,Toronto,Townhouse,1930,Vacant,2728,1,1,2022-12-09,20,3438,414,54,140,2021-12-19,Yes,1.07,4,2,636822
101,Vancouver,Apartment,3134,Vacant,1617,3,2,2015-08-27,31,7559,135,31,296,2023-03-07,Yes,0.28,13,5,414517
102,Montreal,Apartment,3738,Rented,3598,4,1,2022-05-28,13,8484,958,75,263,2017-10-14,Yes,2.52,6,3,66875
103,Vancouver,Townhouse,2825,Rented,3463,4,3,2022-04-21,20,4010,847,4,437,2019-10-28,No,4.9,3,9,650287
104,Edmonton,Townhouse,1875,Vacant,1069,4,1,2016-11-30,23,4483,778,37,370,2020-01-01,Yes,0.38,18,1,769311
105,Edmonton,Apartment,982,Rented,2971,2,3,2021-07-31,14,4609,205,28,295,2021-06-04,No,1.46,8,6,500055
106,Winnipeg,Condo,3935,Vacant,3244,2,3,2021-06-27,9,9986,750,17,89,2021-08-03,Yes,4.1,7,6,69971
107,Winnipeg,Apartment,3239,Rented,3237,4,1,2022-08-15,6,10124,276,26,146,2019-10-24,No,4.83,11,7,351628
108,Toronto,Condo,2381,Vacant,3904,1,1,2020-05-29,13,6349,334,51,104,2016-10-08,Yes,4.55,11,8,914770
109,Vancouver,Condo,2868,Rented,2833,1,1,2015-11-19,29,3671,764,50,173,2018-12-21,No,3.13,12,1,290371
110,Halifax,Townhouse,3136,Rented,3104,4,2,2016-10-15,31,7850,590,34,350,2017-08-22,Yes,0.23,10,4,984406
111,Montreal,Condo,1934,Vacant,552,3,2,2023-03-10,17,6962,468,52,290,2021-06-21,No,2.65,3,9,325305
112,Edmonton,Townhouse,1686,Vacant,1947,2,2,2020-05-29,33,8802,100,52,1,2019-11-21,No,3.78,18,4,599545
113,Ottawa,Apartment,2011,Vacant,2239,2,3,2015-12-03,13,8477,655,24,129,2019-03-09,No,3.32,1,4,860528
114,Ottawa,House,3075,Vacant,1015,2,3,2017-05-26,6,7420,331,25,354,2017-06-22,Yes,2.31,4,6,326967
115,Ottawa,Townhouse,3358,Rented,2999,4,1,2022-12-13,35,11960,508,94,50,2021-02-06,No,0.78,5,5,571578
116,Halifax,Apartment,3938,Vacant,1922,1,1,2023-06-03,7,5637,486,82,340,2015-03-22,Yes,4.0,1,7,884058
117,Halifax,Condo,1899,Vacant,2898,1,1,2017-09-16,20,3514,293,1,296,2018-06-17,Yes,2.9,3,8,325629
118,Toronto,Apartment,3242,Rented,3580,1,3,2019-04-14,10,5055,274,20,298,2015-05-12,No,0.98,9,3,533373
119,Vancouver,House,2387,Vacant,3394,3,3,2020-10-03,16,4898,984,3,73,2020-06-03,No,3.46,10,7,364901
120,Halifax,Condo,3944,Vacant,2976,4,1,2019-02-02,24,9800,376,82,71,2020-01-02,No,4.37,5,5,558163
121,Edmonton,Condo,1184,Rented,3769,2,2,2018-05-04,8,2890,495,56,238,2016-07-03,No,0.01,16,1,738306
122,Ottawa,Townhouse,1148,Rented,3519,4,1,2017-04-21,16,6403,516,72,388,2017-11-17,Yes,0.44,11,4,399305
123,Winnipeg,Apartment,3304,Vacant,3816,3,1,2016-11-06,32,11408,107,56,429,2017-05-12,No,2.1,0,1,949736
124,Edmonton,Townhouse,2356,Rented,2097,2,1,2021-10-23,35,7558,704,26,431,2023-05-08,No,2.96,13,2,169170
125,Edmonton,Condo,2528,Rented,2994,4,2,2022-11-02,13,8211,138,84,223,2019-07-13,No,0.7,2,6,869345
126,Calgary,Townhouse,2134,Rented,1782,3,3,2015-07-03,29,9362,807,42,160,2023-02-21,Yes,3.65,6,9,218126
127,Halifax,Townhouse,2043,Vacant,395,1,3,2018-05-17,20,7285,374,77,221,2015-08-31,No,3.83,18,2,259676
128,Edmonton,Condo,3107,Vacant,2601,2,3,2022-07-19,15,7849,413,82,296,2022-03-21,Yes,4.22,2,3,621303
129,Halifax,Apartment,3693,Vacant,1898,2,3,2019-04-29,25,5207,639,79,199,2017-08-07,Yes,1.77,12,1,995772
130,Toronto,Townhouse,3188,Vacant,3275,2,1,2015-03-22,24,3755,268,41,327,2023-02-03,Yes,0.11,11,3,977894
131,Toronto,Condo,2346,Rented,719,1,3,2021-12-06,28,3404,645,61,439,2023-12-28,No,0.36,1,6,732827
132,Edmonton,Townhouse,1360,Vacant,2151,3,3,2019-01-18,23,5028,529,51,463,2018-01-17,Yes,1.46,12,2,621859
133,Calgary,Condo,1954,Vacant,3135,4,2,2019-03-07,14,4425,331,67,453,2017-07-10,Yes,3.12,9,3,507070
134,Vancouver,House,2727,Rented,3610,1,3,2020-07-04,8,9572,929,87,40,2019-01-18,Yes,1.48,9,7,433747
135,Edmonton,Apartment,3501,Rented,322,4,3,2022-02-14,11,9569,857,21,102,2019-12-22,Yes,2.22,6,9,410234
136,Winnipeg,Townhouse,2418,Vacant,1113,1,3,2015-12-27,18,8203,628,23,200,2017-06-22,Yes,1.97,11,3,824446
137,Winnipeg,Townhouse,3153,Rented,2483,1,2,2015-10-24,13,9755,242,24,265,2019-09-29,No,3.43,5,7,396916
138,Montreal,Townhouse,2242,Vacant,968,4,2,2016-04-03,19,10256,311,91,467,2017-02-23,No,2.32,17,3,756865
139,Montreal,House,2323,Rented,918,4,2,2016-02-28,34,6740,745,68,167,2023-04-04,Yes,1.75,15,5,440904
140,Vancouver,House,3125,Vacant,487,2,1,2021-07-28,12,10533,246,56,88,2021-02-19,Yes,2.59,19,1,665338
141,Calgary,Condo,1026,Vacant,3345,4,1,2021-07-18,13,10009,111,20,459,2022-06-14,No,1.6,12,2,143967
142,Halifax,Townhouse,3898,Rented,1102,2,3,2016-03-23,29,11482,820,46,41,2016-03-22,Yes,1.01,3,3,302299
143,Halifax,Apartment,3132,Vacant,1346,3,3,2019-11-19,14,5103,943,2,317,2022-05-13,No,0.35,13,9,229012
144,Ottawa,Condo,2874,Rented,483,4,2,2015-11-01,6,10003,819,9,104,2018-12-02,Yes,4.86,18,2,764239
145,Winnipeg,Townhouse,1356,Vacant,3819,1,1,2021-10-29,16,8719,816,2,231,2015-02-04,Yes,3.76,5,9,175968
146,Halifax,Townhouse,1594,Vacant,418,2,3,2018-06-18,28,4328,663,84,266,2016-01-27,Yes,3.15,6,4,171380
147,Calgary,Townhouse,828,Vacant,2078,3,2,2022-06-21,20,11127,505,78,26,2017-01-02,No,2.32,13,2,214399
148,Toronto,Apartment,2075,Vacant,3312,4,2,2020-07-03,18,7880,885,66,333,2016-08-29,No,3.54,3,5,790270
149,Vancouver,Condo,2576,Vacant,1111,1,2,2016-04-19,25,8377,687,36,356,2015-05-20,Yes,3.81,4,9,243281
150,Vancouver,Condo,2621,Vacant,3082,3,1,2016-08-09,6,9075,539,94,76,2022-03-17,No,0.07,15,6,141718
151,Calgary,Apartment,2869,Rented,1206,4,1,2017-03-11,9,9458,292,27,111,2022-06-02,No,1.59,9,9,941869
152,Ottawa,Townhouse,1490,Rented,904,3,2,2023-03-03,24,10993,510,19,121,2015-06-01,No,2.97,9,4,470079
153,Calgary,Apartment,3004,Vacant,2753,1,1,2020-07-23,18,9034,768,87,124,2022-12-15,Yes,4.24,9,8,480628
154,Edmonton,Apartment,3553,Vacant,473,1,2,2018-02-15,32,10783,767,28,320,2018-03-29,No,2.71,1,7,244214
155,Vancouver,Townhouse,1902,Rented,1247,4,3,2023-03-06,21,2522,693,27,239,2017-02-04,No,3.17,16,2,966497
156,Montreal,Condo,3191,Rented,345,1,3,2015-04-30,14,9951,711,63,185,2015-07-04,Yes,4.19,9,7,998361
157,Montreal,Condo,2928,Rented,1158,3,1,2017-03-17,23,2930,108,34,82,2016-04-09,Yes,3.82,15,4,163973
158,Edmonton,Condo,2131,Rented,1756,2,2,2015-03-27,26,3571,947,95,304,2017-04-16,Yes,3.61,1,4,327996
159,Edmonton,Condo,3875,Rented,2290,1,3,2023-11-12,15,3077,887,53,447,2018-03-16,Yes,2.63,13,8,308406
160,Vancouver,Townhouse,2330,Vacant,409,4,3,2018-06-13,26,6294,988,53,208,2020-08-01,Yes,3.82,13,3,813754
161,Halifax,House,3410,Rented,1831,3,1,2015-01-17,27,8280,601,59,304,2023-05-27,No,4.15,12,8,864962
162,Montreal,Townhouse,1745,Vacant,3949,4,1,2018-08-12,33,11212,895,91,165,2016-06-01,No,4.38,12,1,108750
163,Toronto,Apartment,3067,Rented,1825,2,3,2021-01-07,22,8748,368,44,412,2021-10-05,No,4.64,10,9,894330
164,Edmonton,Apartment,3690,Vacant,302,4,3,2021-08-31,28,3968,651,17,51,2023-06-09,Yes,1.37,10,7,547632
165,Ottawa,House,3873,Vacant,3654,4,2,2019-04-04,30,9897,136,98,311,2020-11-08,No,4.88,7,3,50622
166,Winnipeg,Townhouse,2587,Rented,2591,2,1,2023-02-27,17,9556,950,5,28,2019-09-18,No,0.41,18,4,181332
167,Edmonton,Apartment,3391,Vacant,1453,3,2,2018-03-05,9,8790,750,73,266,2018-03-10,Yes,2.27,3,1,273993
168,Vancouver,House,2585,Rented,2969,4,2,2020-02-23,28,6482,655,25,434,2022-03-14,Yes,4.16,18,9,345634
169,Calgary,Condo,2252,Rented,3055,1,3,2022-09-28,28,8662,637,64,268,2016-12-30,Yes,4.34,8,7,997314
170,Edmonton,Townhouse,2070,Vacant,3669,2,1,2016-07-20,27,3225,596,20,63,2023-11-05,Yes,4.48,11,1,199107
171,Vancouver,Townhouse,1242,Rented,2815,2,2,2017-01-14,13,10617,583,60,396,2017-01-12,No,4.17,6,9,480805
172,Halifax,Townhouse,813,Rented,1099,2,3,2019-01-24,26,10284,141,3,354,2022-05-12,Yes,3.34,9,1,760816
173,Toronto,Condo,1423,Vacant,1163,4,3,2019-06-11,15,4881,967,79,144,2022-05-28,Yes,3.89,18,2,293086
174,Vancouver,Apartment,3172,Vacant,2963,2,1,2021-11-22,32,10095,785,84,56,2022-06-24,No,4.23,14,9,990628
175,Vancouver,Townhouse,1797,Vacant,3065,2,1,2020-03-29,10,7446,335,73,454,2023-04-06,No,3.58,15,2,279258
176,Calgary,Condo,1062,Rented,2968,3,1,2015-09-16,25,7266,261,95,493,2018-12-29,No,1.28,0,2,340108
177,Vancouver,Townhouse,1096,Vacant,2046,4,3,2023-02-22,34,4261,254,94,166,2018-07-31,No,2.56,11,6,685136
178,Vancouver,Townhouse,3010,Vacant,2469,4,1,2016-07-13,18,10789,957,15,147,2020-07-28,No,2.55,8,3,589186
179,Calgary,Townhouse,1922,Rented,2962,3,2,2017-09-26,33,6977,198,87,372,2021-09-04,No,2.31,17,3,818744
180,Toronto,House,3445,Vacant,3575,4,2,2017-04-20,35,7207,985,75,165,2015-11-13,Yes,2.83,12,9,593980
181,Vancouver,Townhouse,867,Vacant,3455,1,1,2019-11-28,30,6778,192,54,324,2020-05-21,No,3.7,18,1,647115
182,Toronto,House,2837,Vacant,3182,2,1,2016-07-17,25,10071,639,6,167,2015-05-12,No,0.37,17,1,426119
183,Ottawa,Townhouse,2645,Rented,1453,1,3,2022-08-20,10,7172,292,79,355,2023-02-26,No,4.43,2,1,867410
184,Winnipeg,House,3246,Rented,1054,1,1,2015-12-17,16,6995,730,46,438,2022-06-07,Yes,0.36,11,9,731676
185,Montreal,House,3773,Vacant,2486,3,3,2018-09-05,35,7833,252,12,445,2015-04-28,No,0.43,17,8,862058
186,Ottawa,Condo,2190,Vacant,398,2,3,2017-09-13,33,8928,820,31,470,2023-10-11,No,3.08,12,5,95748
187,Vancouver,House,2973,Vacant,2496,1,1,2016-02-01,15,9147,754,72,97,2019-04-03,No,2.01,13,1,201428
188,Winnipeg,Apartment,3317,Rented,3186,1,2,2022-04-13,17,5860,372,46,432,2018-06-14,No,0.02,2,9,137626
189,Montreal,Townhouse,886,Rented,1522,3,2,2022-02-21,16,7346,686,16,47,2016-05-24,No,1.84,15,1,684391
190,Calgary,House,1365,Vacant,1798,4,1,2023-12-10,17,5322,541,89,426,2015-05-12,Yes,2.99,16,8,204095
191,Toronto,House,3575,Rented,3385,3,1,2015-07-21,32,7127,704,54,188,2020-11-11,Yes,3.1,12,3,566972
192,Edmonton,Townhouse,2954,Rented,1366,3,2,2018-11-27,25,9427,219,88,381,2017-02-17,Yes,0.11,4,5,628520
193,Ottawa,Condo,1452,Rented,572,3,3,2023-10-12,22,6558,414,72,53,2022-12-03,No,3.1,11,9,154325
194,Vancouver,Condo,3632,Rented,995,2,3,2020-08-29,21,9381,308,54,326,2023-08-10,No,3.68,2,2,829071
195,Calgary,Condo,1215,Vacant,2278,1,2,2019-01-10,32,5775,410,90,315,2023-01-20,Yes,0.41,12,1,399725
196,Ottawa,House,3811,Rented,3627,3,3,2016-07-10,18,5044,769,10,410,2023-09-19,No,1.51,7,9,189492
197,Halifax,House,2729,Vacant,513,4,3,2016-05-24,20,4080,469,57,436,2015-03-09,No,1.77,16,4,446011
198,Halifax,Apartment,829,Vacant,744,3,1,2020-11-30,31,11376,798,23,5,2021-12-14,No,3.29,17,6,544519
199,Vancouver,House,2127,Vacant,1147,1,3,2021-03-22,7,11539,400,39,383,2023-02-22,Yes,1.95,18,3,591960
200,Montreal,House,1382,Vacant,2637,3,3,2018-03-03,27,9891,778,76,282,2015-12-23,Yes,1.75,19,2,968399
201,Vancouver,Condo,2687,Rented,628,4,3,2016-04-05,20,9226,164,37,155,2016-09-14,No,0.51,9,8,790704
202,Toronto,Apartment,1184,Vacant,2688,3,2,2016-02-27,6,2735,296,17,11,2023-01-25,No,2.83,11,4,232949
203,Calgary,Apartment,1331,Rented,3173,4,1,2023-10-23,31,5051,160,41,296,2015-09-22,No,3.61,12,7,347799
204,Vancouver,Townhouse,2398,Vacant,714,3,2,2023-07-10,16,7439,622,1,135,2019-12-26,Yes,4.85,19,1,236732
205,Toronto,Condo,3819,Rented,619,4,1,2021-12-17,31,7904,404,8,191,2020-10-11,Yes,2.62,18,8,257589
206,Halifax,Apartment,2323,Vacant,460,3,1,2023-06-08,30,5275,308,38,406,2022-07-08,No,0.57,0,5,859455
207,Winnipeg,Condo,1348,Vacant,2458,4,2,2020-08-24,35,9101,634,3,215,2017-02-05,Yes,1.45,9,4,700439
208,Vancouver,Condo,2750,Rented,1218,2,1,2021-09-02,23,4882,337,9,35,2023-04-19,Yes,2.97,7,2,673902
209,Montreal,Condo,3575,Rented,547,2,1,2016-09-26,17,3366,993,78,319,2019-11-19,No,1.98,6,7,868727
